pca_dim,nb_kernels,kernel_size,stride,kernel_modes,variant,mean_accuracy,std_accuracy,param_count,run_dir,efficiency
8,3,2,2,12,qconv_quantum,0.9799842395587076,0.014590968541855516,842,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-184932,0.0011638767690720993
8,3,4,2,16,qconv_quantum,0.9791962174940898,0.018016604144924453,1478,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-200025,0.0006625143555440391
8,2,2,2,16,qconv_quantum,0.9760441292356186,0.02452407719994328,994,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-165106,0.0009819357436978053
8,3,2,2,16,qconv_quantum,0.960756501182033,0.059782368299067655,1490,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-185120,0.000644803020927539
8,3,4,1,12,qconv_quantum,0.960756501182033,0.02027591644670594,854,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-193942,0.0011250076126253315
8,3,3,2,16,qconv_quantum,0.959022852639874,0.03262868139923709,1478,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-192845,0.0006488652588903072
8,2,3,1,12,qconv_quantum,0.9552403467297085,0.021104284306664233,578,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-170146,0.00165266495973998
8,3,3,2,12,qconv_quantum,0.9524034672970844,0.02145099698788997,830,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-192714,0.001147474056984439
8,3,1,1,16,qconv_quantum,0.9451536643026005,0.0686296193100876,1538,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-175522,0.0006145342420693111
8,2,2,2,8,qconv_quantum,0.9426319936958235,0.04896376224067259,258,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-164852,0.0036536123786659828
8,3,3,2,8,qconv_quantum,0.9230890464933018,0.04981471368635657,374,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-192604,0.0024681525307307535
8,2,1,1,16,qconv_quantum,0.9221434200157604,0.06341751691361154,1026,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-161100,0.0008987752631732557
8,3,1,1,10,qconv_quantum,0.9145784081954295,0.09035723663111295,638,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-175050,0.0014335084767953439
8,1,2,1,16,qconv_quantum,0.9141055949566588,0.08785467122407935,510,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-152739,0.0017923639116797232
8,3,2,2,10,qconv_quantum,0.908274231678487,0.08351145392182249,590,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-184837,0.0015394478503025202
8,3,3,1,8,qconv_quantum,0.9049645390070922,0.0463718679684343,410,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-190324,0.002207230582944127
8,2,4,2,10,qconv_quantum,0.8940898345153665,0.02223730688662852,386,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-174151,0.0023162949080708975
8,2,2,1,8,qconv_quantum,0.890622537431048,0.0581720428724571,282,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-150505,0.0031582359483370496
8,2,3,2,16,qconv_quantum,0.8901497241922773,0.1521932374087794,986,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-171942,0.0009027887669292874
8,2,2,1,12,qconv_quantum,0.8873128447596532,0.07276614689955985,586,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-163040,0.001514185741910671
